Total ESG Risk score,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Score,Symbol,Sector,Industry
0.9362473715834351,-0.7888245726888403,1.6113236426527344,2.0941265331207064,1.2527556677657363,BAC,Financial Services,Banks - Diversified
-1.431333908239789,0.34624453072574174,-2.345678539238194,-1.3950483551500605,-0.00939566750824297,BALL,Consumer Cyclical,Packaging & Containers
0.24935650644953697,-0.5772015195098505,1.1962534837131267,0.12587403204488895,1.2527556677657363,BAX,Healthcare,Medical Instruments & Supplies
0.9362473715834351,1.2312136622015177,0.28309913404598946,-0.4109221046121518,-0.00939566750824297,BBWI,Consumer Cyclical,Specialty Retail
-0.8759753364294028,-0.6541553570294832,-0.04895699310569717,-1.0819172754334532,-0.00939566750824297,BBY,Consumer Cyclical,Specialty Retail
0.278585904965873,-0.5387246007500341,1.1962534837131267,0.12587403204488895,1.2527556677657363,BDX,Healthcare,Medical Instruments & Supplies
-0.5252225542333697,-0.9042553289682893,0.17241375832876057,0.21534005482106253,-0.00939566750824297,BEN,Financial Services,Asset Management
1.608523537459165,1.6544597685594975,1.1132394519252053,-0.6793201729406726,1.2527556677657363,BG,Consumer Defensive,Farm Products
0.04475071683518398,-1.0389245446276465,1.4452955790768915,0.26007306620914955,1.2527556677657363,BIIB,Healthcare,Drug Manufacturers - General
-0.6567548475568824,-0.8850168695883812,-0.021285649176390073,0.08114102065680236,-1.2715470027822222,BIO,Healthcare,Medical Devices
-0.14524037352100075,-0.9042553289682893,0.17241375832876057,1.3783983509113185,-0.00939566750824297,BK,Financial Services,Asset Management
-0.3936902609098575,-0.9234937883481976,0.22775644618737478,0.5732041459257565,1.2527556677657363,BKNG,Consumer Cyclical,Travel Services
-0.5252225542333697,-0.9427322477281057,-0.5193698399039193,1.423131362299405,-0.00939566750824297,BLK,Financial Services,Asset Management
0.11782421312602423,-0.8657784102084731,1.4176242351475843,0.12587403204488895,-0.00939566750824297,BMY,Healthcare,Drug Manufacturers - General
-0.7736724416222264,-0.307863088191136,-0.4916984959746122,-0.8582522184930194,-0.00939566750824297,BR,Technology,Information Technology Services
-0.17446977203733674,-0.9234937883481976,-1.2111534381365991,3.5703159089275696,-1.2715470027822222,BRK-B,Financial Services,Insurance - Diversified
-0.20369917055367273,-1.0966399227673713,0.14474241439945348,1.6915294306279254,-1.2715470027822222,BRO,Financial Services,Insurance Brokers
0.17628301015869674,-0.6541553570294832,0.7258406369149045,0.9310682370304508,-0.00939566750824297,BSX,Healthcare,Medical Devices
-1.3582604119489485,-0.5964399788897586,-1.4048528456417495,-0.5003881273883254,-0.00939566750824297,BWA,Consumer Cyclical,Auto Parts
0.22012710793320045,-0.634916897649575,0.0893997265408388,2.004660510344533,-0.00939566750824297,BX,Financial Services,Asset Management
-1.3728751112071165,-0.634916897649575,-1.321838813853828,-0.6345871615525855,-1.2715470027822222,BXP,Real Estate,REIT - Office
1.0677796649069473,-0.7695861133089322,1.2515961715717412,3.0782527836586144,2.5149070030397156,C,Financial Services,Banks - Diversified
1.3016148530376364,0.942636771502895,1.6943376744406564,-0.9477182412691929,-0.00939566750824297,CAG,Consumer Defensive,Packaged Foods
-1.0221223290110835,-0.8850168695883812,-0.5470411838332266,-0.18725704767171802,1.2527556677657363,CAH,Healthcare,Medical Distribution
2.0908086129787113,0.8849213933631708,2.3307785848147216,0.5732041459257565,2.5149070030397156,CAT,Industrials,Farm & Heavy Construction Machinery
0.24935650644953697,-0.8273014914486567,0.6151552611976756,1.6915294306279254,-0.00939566750824297,CB,Financial Services,Insurance - Property & Casualty
-0.1306256742628325,-0.5964399788897586,-0.4640271520453051,1.6915294306279254,-1.2715470027822222,CBOE,Financial Services,Financial Data & Stock Exchanges
-2.030536577824679,-0.8273014914486567,-2.041293756015815,-0.9924512526572798,-1.2715470027822222,CBRE,Real Estate,Real Estate Services
0.3808887997730492,0.692536799564089,0.22775644618737478,-0.8135192071049328,1.2527556677657363,CCL,Consumer Cyclical,Travel Services
0.6147239879037382,1.712175146699222,-0.9344399988435272,-0.5451211387764123,-0.00939566750824297,CE,Basic Materials,Chemicals
1.0823943641651157,2.0007520373978447,-0.4363558081159978,-0.6345871615525855,-1.2715470027822222,CF,Basic Materials,Agricultural Inputs
0.23474180719136872,-0.7311091945491158,0.22775644618737478,2.0493935217326196,-0.00939566750824297,CFG,Financial Services,Banks - Regional
